khipu_id,cluster,predicted_function,accounting_probability,numeric_coverage,has_pendant_summation,pendant_match_rate,color_diversity,num_nodes,depth,avg_branching
1000210,3,Accounting,1.0,0.6666666666666666,False,0.0,5.0,15,4,3.5
1000211,3,Accounting,1.0,0.8666666666666667,False,0.0,7.0,30,2,14.5
1000212,3,Accounting,1.0,0.8333333333333334,True,0.1111111111111111,4.0,54,2,4.818181818181818
1000213,3,Accounting,1.0,0.8108108108108109,False,0.0,4.0,37,1,36.0
1000214,3,Accounting,1.0,0.8695652173913043,True,0.1428571428571428,5.0,46,2,5.0
1000216,3,Accounting,1.0,0.7272727272727273,False,0.0,2.0,11,2,5.0
1000217,1,Accounting,1.0,0.5,False,0.0,3.0,8,1,7.0
1000218,1,Accounting,1.0,0.8333333333333334,False,0.0,2.0,6,1,5.0
1000220,3,Accounting,1.0,0.9411764705882352,False,0.0,4.0,17,2,8.0
1000221,3,Accounting,1.0,0.8823529411764706,False,0.0,4.0,34,1,33.0
1000222,3,Accounting,1.0,0.926829268292683,True,0.0833333333333333,8.0,41,2,3.076923076923077
1000223,3,Accounting,1.0,0.8125,False,0.0,3.0,32,2,5.166666666666667
1000224,1,Accounting,1.0,0.3333333333333333,False,0.0,3.0,6,1,5.0
1000225,1,Accounting,1.0,0.8888888888888888,False,0.0,2.0,9,1,8.0
1000226,1,Accounting,1.0,0.7142857142857143,False,0.0,3.0,7,1,6.0
1000227,3,Accounting,1.0,0.7307692307692307,True,0.4444444444444444,2.0,52,3,3.1875
1000228,3,Accounting,1.0,0.7608695652173914,False,0.0,2.0,46,1,45.0
1000229,3,Accounting,0.9828815628815629,0.9135802469135802,False,0.0,5.0,81,2,3.809523809523809
1000230,3,Accounting,0.9828815628815629,0.735632183908046,True,0.1428571428571428,4.0,87,2,4.095238095238095
1000231,3,Accounting,0.9316401607857131,0.108695652173913,False,0.0,2.0,46,2,11.25
1000232,3,Accounting,1.0,0.3333333333333333,False,0.0,4.0,36,2,3.888888888888889
1000233,3,Accounting,0.9818627450980393,0.9830508474576272,False,0.0,2.0,59,2,29.0
1000234,3,Accounting,1.0,0.8771929824561403,False,0.0,2.0,57,1,56.0
1000235,3,Accounting,1.0,0.7926829268292683,False,0.0,7.0,82,4,10.125
1000236,3,Accounting,1.0,0.5060240963855421,False,0.0,9.0,83,2,16.4
1000238,0,Accounting,1.0,0.6513761467889908,True,0.054054054054054,11.0,327,4,6.269230769230769
1000239,3,Accounting,0.9914529914529915,0.8225806451612904,False,0.0,5.0,62,3,5.545454545454546
1000240,3,Accounting,1.0,0.9791666666666666,False,0.0,3.0,48,1,47.0
1000241,6,Non-Accounting,0.4118187685008664,0.057471264367816,False,0.0,3.0,87,2,17.2
1000242,1,Accounting,1.0,0.5714285714285714,False,0.0,1.0,7,1,6.0
1000243,3,Accounting,1.0,0.9166666666666666,False,0.0,5.0,24,2,11.5
1000244,3,Accounting,1.0,0.4615384615384615,False,0.0,2.0,26,2,5.0
1000245,3,Accounting,1.0,0.6764705882352942,False,0.0,8.0,34,2,16.5
1000246,3,Accounting,1.0,0.7380952380952381,False,0.0,2.0,42,1,41.0
1000247,3,Accounting,0.7656299167035279,0.0,False,0.0,3.0,27,1,26.0
1000248,3,Accounting,0.8459828736327463,0.0,False,0.0,5.0,27,1,26.0
1000249,3,Accounting,1.0,0.9552238805970148,True,0.25,8.0,67,2,13.2
1000250,2,Accounting,1.0,0.48,False,0.0,7.0,75,1,74.0
1000251,3,Accounting,1.0,0.8875,True,0.9230769230769232,7.0,80,2,5.642857142857143
1000252,3,Accounting,1.0,0.8571428571428571,False,0.0,2.0,14,1,13.0
1000253,3,Accounting,0.9911764705882353,0.96,False,0.0,4.0,25,1,24.0
1000254,1,Accounting,1.0,0.5833333333333334,False,0.0,5.0,12,1,11.0
1000255,3,Accounting,1.0,0.8125,False,0.0,4.0,32,2,15.5
1000256,3,Accounting,1.0,0.4666666666666667,False,0.0,4.0,15,1,14.0
1000257,1,Accounting,1.0,0.375,False,0.0,5.0,8,2,3.5
1000258,3,Accounting,0.885057854356164,0.0,False,0.0,7.0,45,1,44.0
1000259,2,Accounting,1.0,0.5089285714285714,False,0.0,5.0,112,1,111.0
1000260,3,Accounting,1.0,0.6111111111111112,False,0.0,6.0,36,2,11.666666666666666
1000261,3,Accounting,1.0,0.6111111111111112,False,0.0,4.0,36,2,11.666666666666666
1000262,2,Accounting,1.0,0.6891891891891891,False,0.0,4.0,74,1,73.0
1000263,3,Accounting,0.9637423687423687,0.6533333333333333,False,0.0,5.0,75,2,18.5
1000264,3,Accounting,1.0,0.7391304347826086,False,0.0,13.0,115,2,38.0
1000265,3,Accounting,1.0,0.9642857142857144,False,0.0,5.0,56,2,11.0
1000266,3,Accounting,1.0,0.9818181818181818,True,0.1111111111111111,5.0,55,2,2.8421052631578947
1000267,2,Accounting,1.0,0.9838709677419356,False,0.0,4.0,62,1,61.0
1000268,2,Accounting,1.0,0.9863013698630136,False,0.0,6.0,73,1,72.0
1000269,3,Accounting,1.0,0.9905660377358492,True,0.2,4.0,106,2,2.9166666666666665
1000270,3,Accounting,1.0,0.8737864077669902,False,0.0,11.0,103,2,3.642857142857143
1000271,3,Accounting,1.0,0.6428571428571429,False,0.0,12.0,126,2,5.0
1000272,3,Accounting,0.9914529914529915,0.8064516129032258,False,0.0,6.0,62,2,30.5
1000273,0,Accounting,1.0,0.8629032258064516,True,0.15,12.0,372,2,6.183333333333334
1000274,3,Accounting,1.0,0.9318181818181818,False,0.0,12.0,132,2,6.894736842105263
1000275,0,Accounting,1.0,0.8339100346020761,True,0.0172413793103448,18.0,289,2,4.571428571428571
1000276,1,Accounting,1.0,0.8888888888888888,False,0.0,5.0,9,2,4.0
1000277,3,Accounting,1.0,0.775,False,0.0,7.0,40,1,39.0
1000279,5,Accounting,1.0,0.5996621621621622,True,0.0327868852459016,13.0,592,6,2.352
1000280,0,Accounting,1.0,0.9343065693430656,False,0.0,13.0,274,2,3.5454545454545454
1000283,3,Accounting,1.0,0.7727272727272727,False,0.0,9.0,44,2,4.3
1000285,0,Accounting,1.0,0.7658227848101266,True,0.3103448275862069,14.0,158,3,3.488888888888889
1000287,0,Accounting,1.0,0.4712643678160919,True,0.0909090909090909,13.0,261,2,7.027027027027027
1000288,3,Accounting,1.0,0.6470588235294118,False,0.0,6.0,17,2,8.0
1000289,3,Accounting,1.0,0.7692307692307693,False,0.0,6.0,13,2,6.0
1000290,3,Accounting,1.0,0.2916666666666667,False,0.0,3.0,24,2,11.5
1000291,3,Accounting,0.9911764705882353,0.88,False,0.0,3.0,25,1,24.0
1000292,4,Accounting,1.0,0.8339100346020761,True,0.0547945205479452,19.0,867,4,5.154761904761905
1000293,0,Accounting,1.0,0.8726708074534162,True,0.0294117647058823,10.0,322,3,4.397260273972603
1000295,3,Accounting,1.0,0.8372093023255814,False,0.0,9.0,43,2,14.0
1000296,3,Accounting,1.0,0.7435897435897436,False,0.0,6.0,39,1,38.0
1000297,3,Accounting,0.9911764705882353,0.68,False,0.0,3.0,25,1,24.0
