khipu_id,total_cords,max_level,total_tests,total_matches,overall_match_rate,has_multi_level_summation,levels_tested,level_statistics,error
1000076,36.0,2.0,4.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 4, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(21221.5), 'avg_confidence': np.float64(1.0)}}",
1000077,281.0,2.0,1.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(12.0), 'avg_confidence': np.float64(1.0)}}",
1000078,9.0,2.0,1.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(50.0), 'avg_confidence': np.float64(1.0)}}",
1000079,94.0,2.0,10.0,1.0,0.1,False,1.0,"{'level_2.0': {'tests_performed': 10, 'matches': 1, 'match_rate': 0.1, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}}",
1000080,35.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000081,28.0,2.0,4.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 4, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(1853.5), 'avg_confidence': np.float64(1.0)}}",
1000082,16.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000083,157.0,3.0,35.0,3.0,0.08571428571428572,True,2.0,"{'level_2.0': {'tests_performed': 26, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(27.884615384615383), 'avg_confidence': np.float64(1.0)}, 'level_3.0': {'tests_performed': 9, 'matches': 3, 'match_rate': 0.3333333333333333, 'avg_difference': np.float64(16.444444444444443), 'avg_confidence': np.float64(1.0)}}",
1000084,6.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000085,289.0,2.0,10.0,1.0,0.1,False,1.0,"{'level_2.0': {'tests_performed': 10, 'matches': 1, 'match_rate': 0.1, 'avg_difference': np.float64(22.0), 'avg_confidence': np.float64(1.0)}}",
1000086,14.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000087,28.0,2.0,12.0,7.0,0.5833333333333334,False,1.0,"{'level_2.0': {'tests_performed': 12, 'matches': 7, 'match_rate': 0.5833333333333334, 'avg_difference': np.float64(3.6666666666666665), 'avg_confidence': np.float64(1.0)}}",
1000088,195.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000089,287.0,2.0,81.0,9.0,0.1111111111111111,False,1.0,"{'level_2.0': {'tests_performed': 81, 'matches': 9, 'match_rate': 0.1111111111111111, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}}",
1000090,15.0,2.0,2.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 2, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}}",
1000091,49.0,2.0,2.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 2, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(153.5), 'avg_confidence': np.float64(1.0)}}",
1000092,13.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000093,23.0,2.0,1.0,1.0,1.0,False,1.0,"{'level_2.0': {'tests_performed': 1, 'matches': 1, 'match_rate': 1.0, 'avg_difference': np.float64(0.0), 'avg_confidence': np.float64(1.0)}}",
1000094,285.0,3.0,80.0,1.0,0.0125,True,2.0,"{'level_2.0': {'tests_performed': 79, 'matches': 1, 'match_rate': 0.012658227848101266, 'avg_difference': np.float64(51.24050632911393), 'avg_confidence': np.float64(1.0)}, 'level_3.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(65.0), 'avg_confidence': np.float64(1.0)}}",
1000096,1831.0,3.0,94.0,2.0,0.02127659574468085,True,2.0,"{'level_2.0': {'tests_performed': 86, 'matches': 2, 'match_rate': 0.023255813953488372, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(0.996124031007752)}, 'level_3.0': {'tests_performed': 8, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}}",
1000097,87.0,3.0,17.0,0.0,0.0,True,2.0,"{'level_2.0': {'tests_performed': 15, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}, 'level_3.0': {'tests_performed': 2, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(419.5), 'avg_confidence': np.float64(1.0)}}",
1000098,49.0,2.0,9.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 9, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}}",
1000099,43.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000100,25.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000101,28.0,2.0,3.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 3, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}}",
1000103,541.0,2.0,84.0,16.0,0.19047619047619047,False,1.0,"{'level_2.0': {'tests_performed': 84, 'matches': 16, 'match_rate': 0.19047619047619047, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(0.9988095238095239)}}",
1000105,12.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000106,18.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000107,15.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000108,25.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000109,10.0,3.0,2.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 2, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(37.0), 'avg_confidence': np.float64(1.0)}}",
1000110,21.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000111,11.0,2.0,1.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(14.0), 'avg_confidence': np.float64(1.0)}}",
1000112,4.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000113,35.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000114,14.0,2.0,1.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(3760.0), 'avg_confidence': np.float64(1.0)}}",
1000115,190.0,2.0,6.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 6, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(123.0), 'avg_confidence': np.float64(1.0)}}",
1000116,20.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000117,18.0,2.0,4.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 4, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}}",
1000118,30.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000119,62.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000120,90.0,2.0,2.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 2, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(1086.5), 'avg_confidence': np.float64(1.0)}}",
1000121,123.0,2.0,11.0,0.0,0.0,False,1.0,"{'level_2.0': {'tests_performed': 11, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(40.18181818181818), 'avg_confidence': np.float64(1.0)}}",
1000122,18.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000123,20.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000124,112.0,1.0,0.0,0.0,0.0,False,0.0,{},
1000125,41.0,3.0,11.0,0.0,0.0,True,2.0,"{'level_2.0': {'tests_performed': 10, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(90.1), 'avg_confidence': np.float64(1.0)}, 'level_3.0': {'tests_performed': 1, 'matches': 0, 'match_rate': 0.0, 'avg_difference': np.float64(33.0), 'avg_confidence': np.float64(1.0)}}",
1000126,47.0,3.0,18.0,2.0,0.1111111111111111,True,2.0,"{'level_2.0': {'tests_performed': 14, 'matches': 1, 'match_rate': 0.07142857142857142, 'avg_difference': np.float64(nan), 'avg_confidence': np.float64(1.0)}, 'level_3.0': {'tests_performed': 4, 'matches': 1, 'match_rate': 0.25, 'avg_difference': np.float64(8.0), 'avg_confidence': np.float64(1.0)}}",
1000127,118.0,2.0,23.0,1.0,0.043478260869565216,False,1.0,"{'level_2.0': {'tests_performed': 23, 'matches': 1, 'match_rate': 0.043478260869565216, 'avg_difference': np.float64(157.30434782608697), 'avg_confidence': np.float64(1.0)}}",
1000128,40.0,2.0,15.0,1.0,0.06666666666666667,False,1.0,"{'level_2.0': {'tests_performed': 15, 'matches': 1, 'match_rate': 0.06666666666666667, 'avg_difference': np.float64(13.666666666666666), 'avg_confidence': np.float64(1.0)}}",
1000129,3.0,1.0,0.0,0.0,0.0,False,0.0,{},
