khipu_id,PROVENANCE,cluster,anomaly_score,is_anomaly_isolation,is_anomaly_statistical,num_outlier_flags,is_anomaly_topology,num_topology_flags,num_methods_flagged,high_confidence_anomaly
1000204,,3,-0.40233614579061483,False,False,0,False,0,0,False
1000205,,1,-0.4601030055151058,False,False,1,False,0,0,False
1000206,,3,-0.3674905148578367,False,False,0,False,0,0,False
1000207,,3,-0.34907131563062477,False,False,0,False,0,0,False
1000208,,3,-0.38485802021814103,False,False,0,False,0,0,False
1000209,,3,-0.35625223745847495,False,False,0,False,0,0,False
1000210,,3,-0.4127832824819208,False,False,0,False,0,0,False
1000211,,3,-0.34357415656749724,False,False,0,False,0,0,False
1000212,,3,-0.34398982569580344,False,False,0,False,0,0,False
1000213,,3,-0.36352034089828633,False,False,0,True,1,1,False
1000214,Hacienda Ullujalla y Callengo,3,-0.34528336813626215,False,False,0,False,0,0,False
1000216,,3,-0.378093632588657,False,False,0,False,0,0,False
1000217,,1,-0.4106485616749687,False,False,0,False,0,0,False
1000218,,1,-0.4433593579762801,False,False,0,False,0,0,False
1000220,,3,-0.3592458104956917,False,False,0,False,0,0,False
1000221,,3,-0.3587356150056375,False,False,0,True,1,1,False
1000222,,3,-0.35098119393317156,False,False,0,False,0,0,False
1000223,,3,-0.3391507349039254,False,False,0,False,0,0,False
1000224,,1,-0.46449882835706763,False,False,0,False,0,0,False
1000225,,1,-0.4311822253845474,False,False,0,False,0,0,False
1000226,,1,-0.4187971834927102,False,False,0,False,0,0,False
1000227,Peru,3,-0.36202731958667755,False,False,0,False,0,0,False
1000228,Huacho,3,-0.3665227576115964,False,False,0,True,1,1,False
1000229,,3,-0.3536673173927008,False,False,0,False,0,0,False
1000230,,3,-0.35587377549622673,False,False,0,False,0,0,False
1000231,,3,-0.39604777159851745,False,False,0,False,0,0,False
1000232,Peru,3,-0.36441344537402914,False,False,0,False,0,0,False
1000233,Peru,3,-0.3895625463992042,False,False,0,False,0,0,False
1000234,Peru,3,-0.3794795622276707,False,False,0,True,1,1,False
